date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend
2015-07-20,1.56017,1.56273,1.55382,1.55577,53.17971030058143,0.0,0.5,0.0057342549330038056,,Low_Volatility,Low Volatility + Trend False
2015-07-21,1.55612,1.55904,1.55287,1.55527,58.250768930876376,0.0,0.0,0.003973288169647175,,Low_Volatility,Low Volatility + No Trend
2015-07-22,1.55504,1.56469,1.55457,1.56082,58.3457110388822,0.0,0.0,0.006509838733540404,,Low_Volatility,Low Volatility + No Trend
2015-07-23,1.56081,1.56705,1.55007,1.55113,58.630787044008905,0.0,0.0,0.010954343997367857,,Low_Volatility,Low Volatility + No Trend
2015-07-24,1.55112,1.55258,1.54663,1.55054,58.88026333604336,0.0,0.0,0.003847073960805184,,Low_Volatility,Low Volatility + No Trend
2015-07-27,1.55125,1.5595,1.54896,1.55587,59.01942109806005,0.0,0.0,0.006804565644045177,,Low_Volatility,Low Volatility + No Trend
2015-07-28,1.55585,1.56278,1.55278,1.56121,60.553083281005584,0.0,0.0,0.006440062339803455,,Low_Volatility,Low Volatility + No Trend
2015-07-29,1.56121,1.56894,1.55876,1.55966,61.36168319955224,0.0,0.0,0.006530832199953859,,Low_Volatility,Low Volatility + No Trend
2015-07-30,1.55946,1.56401,1.55622,1.55968,72.84933612110588,0.0,0.0,0.005005718985747493,,Low_Volatility,Low Volatility + No Trend
2015-07-31,1.55965,1.56782,1.55491,1.56174,72.66082541270183,0.0,0.0,0.008302731347795035,,Low_Volatility,Low Volatility + No Trend
2015-08-03,1.56272,1.56446,1.55648,1.5583,74.7936086657681,0.0,0.0,0.00512695312499992,,Low_Volatility,Low Volatility + No Trend
2015-08-04,1.55822,1.56336,1.55578,1.55586,74.28015522376587,0.0,0.0,0.00487215416061406,,Low_Volatility,Low Volatility + No Trend
2015-08-05,1.55589,1.56507,1.5526,1.56014,73.76328562515302,0.0,0.0,0.00803168878011077,,Low_Volatility,Low Volatility + No Trend
2015-08-06,1.5601,1.56366,1.54668,1.55113,73.341676002012,0.0,0.0,0.010978353634882454,,Low_Volatility,Low Volatility + No Trend
2015-08-07,1.55116,1.55449,1.54243,1.54909,66.42434669839047,0.0,0.0,0.007818831324598173,,Low_Volatility,Low Volatility + No Trend
2015-08-10,1.54874,1.56058,1.54579,1.55865,66.32657692862881,0.0,0.0,0.009567923197847107,,Low_Volatility,Low Volatility + No Trend
2015-08-11,1.55852,1.56163,1.55549,1.55652,66.11547810785113,0.0,0.0,0.003947309208030931,,Low_Volatility,Low Volatility + No Trend
2015-08-12,1.55655,1.56598,1.55339,1.56089,65.68304558419844,0.0,0.0,0.008104854543932869,,Low_Volatility,Low Volatility + No Trend
2015-08-13,1.56091,1.56365,1.55733,1.56055,65.31981768863247,0.0,0.0,0.00405822786435751,,Low_Volatility,Low Volatility + No Trend
2015-08-14,1.56056,1.56597,1.55878,1.56449,65.05848275844968,0.0,0.0,0.004612581634355091,,Low_Volatility,Low Volatility + No Trend
2015-08-17,1.56468,1.56884,1.55788,1.55812,64.8811033035176,0.0,0.0,0.00703520168434031,,Low_Volatility,Low Volatility + No Trend
2015-08-18,1.55824,1.5717,1.55622,1.56557,61.00215923789505,0.0,0.0,0.009947179704669108,,Low_Volatility,Low Volatility + No Trend
2015-08-19,1.56558,1.57001,1.5635,1.56784,61.05369947107048,0.0,0.0,0.004163735209465952,,Low_Volatility,Low Volatility + No Trend
2015-08-20,1.56785,1.57014,1.56058,1.56881,61.00530168865101,0.0,0.0,0.006125927539760866,,Low_Volatility,Low Volatility + No Trend
2015-08-21,1.5689,1.57231,1.56575,1.5688,60.34920970867467,0.0,0.0,0.004189685454255227,,Low_Volatility,Low Volatility + No Trend
2015-08-24,1.5676,1.58026,1.563,1.57752,51.75433258628259,1.0,0.5,0.011042866282789542,,Low_Volatility,Low Volatility + Trend
2015-08-25,1.5775,1.58188,1.568,1.56868,50.470014649138335,1.0,0.5,0.008852040816326462,,Low_Volatility,Low Volatility + Trend
2015-08-26,1.56866,1.57198,1.54521,1.54579,50.85757797660627,1.0,0.5,0.017324506054193257,,Low_Volatility,Low Volatility + Trend
2015-08-27,1.5458,1.55082,1.53697,1.54027,46.30522964498434,1.0,0.5,0.009011236393683768,,Low_Volatility,Low Volatility + Trend
2015-08-28,1.54027,1.54428,1.53349,1.53855,43.61069665745878,1.0,0.5,0.0070362376018103,,Low_Volatility,Low Volatility + Trend
2015-08-31,1.54099,1.54367,1.53389,1.53427,43.87782134956644,1.0,0.5,0.006375946123907269,,Low_Volatility,Low Volatility + Trend
2015-09-01,1.53428,1.5408,1.52995,1.53031,41.5139541765806,1.0,0.5,0.007091735024020411,,Low_Volatility,Low Volatility + Trend
2015-09-02,1.53033,1.53258,1.52641,1.52926,39.315053522069626,1.0,0.0,0.004042164293997032,,Low_Volatility,Low Volatility + Trend
2015-09-03,1.52932,1.53128,1.5219,1.52562,36.74554500010688,1.0,0.0,0.006163348446021384,,Low_Volatility,Low Volatility + Trend
2015-09-04,1.5256,1.52715,1.51628,1.51672,33.72241675784445,1.0,0.0,0.0071688606326007955,,Low_Volatility,Low Volatility + Trend
2015-09-07,1.51758,1.52883,1.5171,1.5269,33.943736218704416,1.0,0.0,0.007731856832113914,,Low_Volatility,Low Volatility + Trend
2015-09-08,1.52701,1.54124,1.52701,1.53905,34.31603697041514,1.0,0.0,0.009318864971414704,,Low_Volatility,Low Volatility + Trend
2015-09-09,1.53903,1.54042,1.53495,1.53661,34.67248919010956,1.0,0.0,0.003563633994592569,,Low_Volatility,Low Volatility + Trend
2015-09-10,1.53675,1.54757,1.53387,1.5441,35.16549857946955,1.0,0.0,0.008931656528910419,,Low_Volatility,Low Volatility + Trend
2015-09-11,1.54445,1.54615,1.53994,1.54274,35.31688703873798,1.0,0.0,0.004032624647713434,,Low_Volatility,Low Volatility + Trend
2015-09-14,1.54298,1.54708,1.53724,1.54238,41.57839660839409,0.0,0.0,0.0064010824594728675,,Low_Volatility,Low Volatility + No Trend
2015-09-15,1.5425,1.54566,1.53295,1.53425,59.35992028562956,0.0,0.0,0.008291203235591505,,Low_Volatility,Low Volatility + No Trend
2015-09-16,1.53432,1.55283,1.53297,1.54879,56.95758242598015,0.0,0.5,0.012955243742538987,,Low_Volatility,Low Volatility + Trend False
2015-09-17,1.5489,1.56281,1.54855,1.55876,47.67264287296182,0.0,0.5,0.00920861451034835,,Low_Volatility,Low Volatility + Trend False
2015-09-18,1.55893,1.56585,1.55136,1.55232,45.154618894800926,0.0,0.5,0.009340191831683099,,Low_Volatility,Low Volatility + Trend False
2015-09-21,1.55233,1.55673,1.54802,1.55057,45.02770916960973,0.0,0.5,0.005626542292735234,,Low_Volatility,Low Volatility + Trend False
2015-09-22,1.55082,1.55285,1.53401,1.53612,45.11380167039984,0.0,0.5,0.01228153662622797,,Low_Volatility,Low Volatility + Trend False
2015-09-23,1.53593,1.53653,1.52207,1.52381,45.24753794052481,0.0,0.5,0.009500220095002147,,Low_Volatility,Low Volatility + Trend False
2015-09-24,1.52394,1.52887,1.52003,1.52418,45.98087712090148,0.0,0.5,0.005815674690631079,,Low_Volatility,Low Volatility + Trend False
2015-09-25,1.52422,1.52608,1.51353,1.51746,43.466536866273245,0.0,0.5,0.008291873963515795,,Low_Volatility,Low Volatility + Trend False
2015-09-28,1.51905,1.52411,1.5157,1.51736,43.40373154131255,0.0,0.5,0.005548591409909632,,Low_Volatility,Low Volatility + Trend False
2015-09-29,1.51737,1.52049,1.51289,1.51461,42.982499985813256,0.0,0.5,0.005023498073223981,,Low_Volatility,Low Volatility + Trend False
2015-09-30,1.51462,1.52136,1.51071,1.51256,41.32571451620045,0.0,0.5,0.007049665389121703,,Low_Volatility,Low Volatility + Trend False
2015-10-01,1.5127,1.51799,1.51071,1.51307,41.39706381885665,0.0,0.5,0.004818926200263422,,Low_Volatility,Low Volatility + Trend False
2015-10-02,1.51307,1.52367,1.51264,1.5174,41.55411839013404,0.0,0.5,0.007291887031944213,,Low_Volatility,Low Volatility + Trend False
2015-10-05,1.51964,1.52441,1.51359,1.51452,41.90870238242422,0.0,0.5,0.0071485673134733,,Low_Volatility,Low Volatility + Trend False
2015-10-06,1.51452,1.52427,1.51397,1.5222,42.00861883156482,0.0,0.5,0.006803305217408519,,Low_Volatility,Low Volatility + Trend False
2015-10-07,1.5222,1.53393,1.52182,1.5316,42.01736519373322,0.0,0.5,0.007957577111616397,,Low_Volatility,Low Volatility + Trend False
2015-10-08,1.5316,1.53721,1.52611,1.53435,48.74563742124792,0.0,0.5,0.007273394447320237,,Low_Volatility,Low Volatility + Trend False
2015-10-09,1.53434,1.53833,1.52996,1.53275,51.98944073279493,0.0,0.5,0.005470731260947991,,Low_Volatility,Low Volatility + Trend False
2015-10-12,1.53141,1.53728,1.53096,1.53482,67.48983422876204,0.0,0.0,0.004128128755813268,,Low_Volatility,Low Volatility + No Trend
2015-10-13,1.53481,1.53874,1.52001,1.52468,66.40354587178831,0.0,0.0,0.012322287353372617,,Low_Volatility,Low Volatility + No Trend
2015-10-14,1.5247,1.5494,1.5247,1.54744,53.9580840754329,0.0,0.5,0.016199908178658205,,Low_Volatility,Low Volatility + Trend False
2015-10-15,1.54767,1.55088,1.54144,1.5452,52.241442502934326,0.0,0.5,0.006124143657878422,,Low_Volatility,Low Volatility + Trend False
2015-10-16,1.54379,1.54859,1.54299,1.54333,51.99828459293313,0.0,0.5,0.003629317105101023,,Low_Volatility,Low Volatility + Trend False
2015-10-19,1.5435,1.54963,1.54271,1.54625,51.705212232250496,0.0,0.5,0.004485612979756427,,Low_Volatility,Low Volatility + Trend False
2015-10-20,1.54626,1.55058,1.54354,1.54439,51.40013824333863,0.0,0.5,0.004560944322790571,,Low_Volatility,Low Volatility + Trend False
2015-10-21,1.54439,1.54772,1.54104,1.54104,52.92911441598589,0.0,0.5,0.004334734984166549,,Low_Volatility,Low Volatility + Trend False
2015-10-22,1.5412,1.55083,1.53689,1.53925,53.57294309005894,0.0,0.5,0.00907026527597931,,Low_Volatility,Low Volatility + Trend False
2015-10-23,1.53919,1.54187,1.53057,1.53064,53.691249774159154,0.0,0.5,0.007382870433890699,,Low_Volatility,Low Volatility + Trend False
2015-10-26,1.53057,1.53817,1.53049,1.53508,60.31484332346757,0.0,0.0,0.005018000770994996,,Low_Volatility,Low Volatility + No Trend
2015-10-27,1.53487,1.53584,1.52823,1.53031,60.124458036986994,0.0,0.0,0.004979616942476012,,Low_Volatility,Low Volatility + No Trend
2015-10-28,1.53032,1.53473,1.52484,1.52665,59.972394624424,0.0,0.0,0.006485926392277193,,Low_Volatility,Low Volatility + No Trend
2015-10-29,1.52664,1.53215,1.52423,1.53112,59.817729308373,0.0,0.0,0.005196066210479998,,Low_Volatility,Low Volatility + No Trend
2015-10-30,1.53114,1.54677,1.53086,1.54238,60.06180131345295,0.0,0.0,0.010392851077172222,,Low_Volatility,Low Volatility + No Trend
2015-11-02,1.54464,1.54969,1.54039,1.541,65.62893368907508,0.0,0.0,0.006037432078889168,,Low_Volatility,Low Volatility + No Trend
2015-11-03,1.5412,1.54451,1.53594,1.54191,65.04603727722693,0.0,0.0,0.005579645038217617,,Low_Volatility,Low Volatility + No Trend
2015-11-04,1.5419,1.54448,1.53603,1.53822,64.5644677420664,0.0,0.0,0.005501194638125602,,Low_Volatility,Low Volatility + No Trend
2015-11-05,1.5382,1.54016,1.52048,1.52068,59.32219617884126,0.0,0.0,0.012943281069136009,,Low_Volatility,Low Volatility + No Trend
2015-11-06,1.52068,1.52189,1.50269,1.50447,41.837728690512016,0.0,0.5,0.012777086425011068,,Low_Volatility,Low Volatility + Trend False
2015-11-09,1.50463,1.5128,1.50408,1.51134,41.93210654868645,0.0,0.5,0.005797563959363756,,Low_Volatility,Low Volatility + Trend False
2015-11-10,1.51132,1.51452,1.50914,1.51177,42.01326573503432,0.0,0.5,0.0035649442728972547,,Low_Volatility,Low Volatility + Trend False
2015-11-11,1.51142,1.52203,1.51142,1.52099,42.8866784440705,0.0,0.5,0.007019888581598767,,Low_Volatility,Low Volatility + Trend False
2015-11-12,1.52065,1.5246,1.51739,1.52307,42.76690484429342,0.0,0.5,0.004751580015684787,,Low_Volatility,Low Volatility + Trend False
2015-11-13,1.52292,1.5263,1.51874,1.52277,42.693440103764175,0.0,0.5,0.004977810553485134,,Low_Volatility,Low Volatility + Trend False
2015-11-16,1.52249,1.52289,1.51811,1.51973,42.65104921161489,0.0,0.5,0.00314865194221763,,Low_Volatility,Low Volatility + Trend False
2015-11-17,1.5197,1.52384,1.51541,1.52108,42.60393410679562,0.0,0.5,0.005562850977623323,,Low_Volatility,Low Volatility + Trend False
2015-11-18,1.52107,1.52485,1.51878,1.52358,42.53052730286935,0.0,0.5,0.003996628873174535,,Low_Volatility,Low Volatility + Trend False
2015-11-19,1.52358,1.53354,1.52263,1.52897,42.181970691610935,0.0,0.5,0.007165233838818345,,Low_Volatility,Low Volatility + Trend False
2015-11-20,1.52892,1.53094,1.5182,1.51905,46.49992114059683,0.0,0.5,0.008391516269266219,,Low_Volatility,Low Volatility + Trend False
2015-11-23,1.51846,1.51949,1.51087,1.51247,46.72691949408301,0.0,0.5,0.005705322099187933,,Low_Volatility,Low Volatility + Trend False
2015-11-24,1.51247,1.51553,1.50533,1.50755,51.11175516681007,0.0,0.5,0.006775922887340308,,Low_Volatility,Low Volatility + Trend False
2015-11-25,1.50758,1.51357,1.50556,1.51288,58.24404542178125,0.0,0.0,0.005320279497329945,,Low_Volatility,Low Volatility + No Trend
2015-11-26,1.51284,1.51303,1.50656,1.51016,59.27771870034631,0.0,0.0,0.004294551826678127,,Low_Volatility,Low Volatility + No Trend
2015-11-27,1.51011,1.51096,1.50279,1.50285,56.88308932482385,0.0,0.5,0.005436554674971227,,Low_Volatility,Low Volatility + Trend False
2015-11-30,1.50319,1.50684,1.49938,1.50554,52.17906905041825,0.0,0.5,0.004975389827795504,,Low_Volatility,Low Volatility + Trend False
2015-12-01,1.50546,1.51253,1.50505,1.50799,51.4501754146065,0.0,0.5,0.004969934553669267,,Low_Volatility,Low Volatility + Trend False
2015-12-02,1.50806,1.50819,1.48941,1.49504,41.327446117786174,0.0,0.5,0.012609019678933282,,Low_Volatility,Low Volatility + Trend False
2015-12-03,1.49512,1.51587,1.49036,1.51421,41.278368673621,0.0,0.5,0.017116669797901277,,Low_Volatility,Low Volatility + Trend False
2015-12-04,1.51428,1.5156,1.50775,1.51047,41.35093130491609,0.0,0.5,0.005206433427292412,,Low_Volatility,Low Volatility + Trend False
2015-12-07,1.51058,1.51146,1.5044,1.50547,41.42520518137763,0.0,0.5,0.004692900824248914,,Low_Volatility,Low Volatility + Trend False
2015-12-08,1.50546,1.50605,1.49563,1.50063,41.62630856060986,0.0,0.5,0.006966963754404563,,Low_Volatility,Low Volatility + Trend False
2015-12-09,1.50064,1.51912,1.50035,1.51805,44.38796115425917,0.0,0.5,0.012510414236678077,,Low_Volatility,Low Volatility + Trend False
2015-12-10,1.51773,1.52015,1.51106,1.51593,56.10130758865032,0.0,0.5,0.006015644646804111,,Low_Volatility,Low Volatility + Trend False
2015-12-11,1.51594,1.52397,1.51248,1.52185,52.029706244794966,0.0,0.5,0.007596794668359251,,Low_Volatility,Low Volatility + Trend False
2015-12-14,1.52297,1.52302,1.51074,1.51396,52.39948278396542,0.0,0.5,0.00812846684406322,,Low_Volatility,Low Volatility + Trend False
2015-12-15,1.51398,1.51839,1.50289,1.50375,53.136669410640685,0.0,0.5,0.010313462728476367,,Low_Volatility,Low Volatility + Trend False
2015-12-16,1.50373,1.50978,1.49578,1.50006,54.24085432000343,0.0,0.5,0.009359665191405013,,Low_Volatility,Low Volatility + Trend False
2015-12-17,1.50005,1.50112,1.48647,1.48972,52.34776726827581,0.0,0.5,0.00985556385261731,,Low_Volatility,Low Volatility + Trend False
2015-12-18,1.48949,1.49494,1.48847,1.48859,53.45746869711151,0.0,0.5,0.0043467453156596884,,Low_Volatility,Low Volatility + Trend False
2015-12-21,1.48983,1.49287,1.48768,1.48797,54.54996710566388,0.0,0.5,0.003488653473865366,,Low_Volatility,Low Volatility + Trend False
2015-12-22,1.48798,1.49072,1.48051,1.48262,49.68622119986568,0.0,0.5,0.006896272230515196,,Low_Volatility,Low Volatility + Trend False
2015-12-23,1.48263,1.49,1.48174,1.4869,49.81372393060008,0.0,0.5,0.0055745272449957035,,Low_Volatility,Low Volatility + Trend False
2015-12-24,1.48688,1.49447,1.48582,1.49007,49.90293818781036,0.0,0.5,0.005821701148187564,,Low_Volatility,Low Volatility + Trend False
2015-12-28,1.49104,1.49333,1.48737,1.48798,49.99643758095673,0.0,0.5,0.004007072887042206,,Low_Volatility,Low Volatility + Trend False
2015-12-29,1.48772,1.49129,1.47853,1.48117,48.36814492744941,0.0,0.0,0.008630193503006436,,Low_Volatility,Low Volatility + No Trend
2015-12-30,1.48118,1.4848,1.47925,1.48087,48.07651268086765,0.0,0.0,0.003751901301335098,,Low_Volatility,Low Volatility + No Trend
2015-12-31,1.48088,1.4844,1.47259,1.4734,43.23467568092104,0.0,0.0,0.00801988333480458,,Low_Volatility,Low Volatility + No Trend
2016-01-04,1.47296,1.48154,1.46626,1.47109,39.289355267797255,0.0,0.0,0.010421071297041578,,Low_Volatility,Low Volatility + No Trend
2016-01-05,1.4712,1.47248,1.46378,1.46737,40.48362801523515,0.0,0.0,0.0059435161021464495,,Low_Volatility,Low Volatility + No Trend
2016-01-06,1.46734,1.46809,1.46019,1.46297,43.60696675771593,0.0,0.0,0.0054102548298507695,,Low_Volatility,Low Volatility + No Trend
2016-01-07,1.46299,1.46402,1.45328,1.46164,44.24080194665019,0.0,0.0,0.0073901794561269645,,Low_Volatility,Low Volatility + No Trend
2016-01-08,1.46167,1.46446,1.45058,1.45164,46.23044619937236,0.0,0.0,0.009568586358560104,,Low_Volatility,Low Volatility + No Trend
2016-01-11,1.45217,1.4604,1.44921,1.45393,44.68183726260441,0.0,0.0,0.007721448237315372,,Low_Volatility,Low Volatility + No Trend
2016-01-12,1.45393,1.45598,1.43515,1.44427,33.96218939151161,0.0,0.0,0.014514162282688309,,Low_Volatility,Low Volatility + No Trend
2016-01-13,1.44429,1.44756,1.43795,1.44056,33.63737767171043,0.0,0.0,0.006683125282520182,,Low_Volatility,Low Volatility + No Trend
2016-01-14,1.44056,1.4445,1.43596,1.44099,33.64038234561454,0.0,0.0,0.005947240870219221,,Low_Volatility,Low Volatility + No Trend
2016-01-15,1.44101,1.44275,1.42512,1.4256,28.505211951850978,0.0,0.0,0.012370888065566433,,Low_Volatility,Low Volatility + No Trend
2016-01-18,1.42523,1.43228,1.42362,1.42422,29.03274368602201,0.0,0.0,0.006083083969036603,,Low_Volatility,Low Volatility + No Trend
2016-01-19,1.42423,1.43393,1.41289,1.41533,27.06455866355945,0.0,0.0,0.01489146359589207,,Low_Volatility,Low Volatility + No Trend
2016-01-20,1.41534,1.42189,1.41251,1.41872,27.71694976324956,0.0,0.0,0.006640660951073031,,Low_Volatility,Low Volatility + No Trend
2016-01-21,1.41873,1.42485,1.40783,1.42193,27.44509179304144,0.0,0.0,0.012089527854925692,,Low_Volatility,Low Volatility + No Trend
2016-01-22,1.42192,1.43621,1.42041,1.42622,33.02112308398515,0.0,0.0,0.011123548834491476,,Low_Volatility,Low Volatility + No Trend
2016-01-25,1.4263,1.43094,1.42235,1.42459,36.34235871857051,0.0,0.0,0.006039301156536786,,Low_Volatility,Low Volatility + No Trend
2016-01-26,1.42467,1.43666,1.41727,1.43491,39.66375548353777,0.0,0.0,0.013681232228156962,,Low_Volatility,Low Volatility + No Trend
2016-01-27,1.43491,1.43549,1.42293,1.4232,40.68989657005251,0.0,0.0,0.008826857259316976,,Low_Volatility,Low Volatility + No Trend
2016-01-28,1.42317,1.44072,1.42313,1.43573,44.579106709714246,0.0,0.0,0.012360079542979205,,Low_Volatility,Low Volatility + No Trend
2016-01-29,1.43558,1.44127,1.4149,1.42424,49.10907874868485,0.0,0.0,0.018637359530708886,,Low_Volatility,Low Volatility + No Trend
2016-02-01,1.42467,1.44446,1.42276,1.44297,57.3367318242723,0.0,0.0,0.015252045320363275,,Low_Volatility,Low Volatility + No Trend
2016-02-02,1.44297,1.44455,1.43253,1.44066,61.28736531927565,0.0,0.0,0.008390749233872882,,Low_Volatility,Low Volatility + No Trend
2016-02-03,1.44066,1.46487,1.43831,1.45996,45.79194854097418,0.0,0.5,0.018466116483929,,Low_Volatility,Low Volatility + Trend False
